l0,l1,l2,cycle,dsp,ii
1,8,2,8589934605,104,2
2,1,8,8589934612,104,2
2,2,4,17179869205,104,4
2,4,2,8589934613,104,2
4,1,4,17179869221,52,4
4,2,2,17179869219,52,4
8,1,2,34359738431,52,8
1,1,16,1108135124994,5,270540802
1,2,8,4294967313,104,1
1,4,4,4294967313,92,1
1,8,2,4294967313,86,1
2,1,8,8589934616,64,2
2,2,4,8589934616,52,2
2,4,2,8589934616,46,2
4,1,4,17179869222,32,4
4,2,2,17179869222,26,4
8,1,2,34359738434,16,8
1,4,16,1073741841,368,1
1,8,8,1073741841,344,1
1,16,4,4294967313,160,4
2,2,16,2147483672,208,2
2,4,8,2147483672,184,2
2,8,4,8589934613,160,8
4,1,16,4294967334,128,4
4,2,8,4294967334,160,4
4,4,4,17179869213,160,16
8,1,8,8589934658,160,8
8,2,4,34359738413,160,32
1,2,16,2147483665,208,1
1,4,8,2147483665,184,1
1,8,4,8589934609,160,4
2,1,16,4294967320,128,2
2,2,8,4294967320,160,2
2,4,4,17179869205,160,8
4,1,8,8589934630,160,4
4,2,4,34359738397,160,16
8,1,4,68719476781,160,32
1,8,2097154,160
2,4,4194306,160
4,2,8388610,160
4,2,8388610,160
1,4,16,1073741837,320,1
1,8,8,1073741837,320,1
1,16,4,4294967309,104,4
2,2,16,2147483668,160,2
2,4,8,2147483668,160,2
2,8,4,4294967317,104,4
4,1,16,4294967330,80,4
4,2,8,4294967330,80,4
4,4,4,4294967333,80,4
8,1,8,8589934654,52,8
8,2,4,8589934657,52,8
1,2,16,2147483661,160,1
1,4,8,2147483661,160,1
1,8,4,8589934605,104,4
2,1,16,4294967316,80,2
2,2,8,4294967316,104,2
2,4,4,8589934613,104,4
4,1,8,8589934626,52,4
4,2,4,8589934629,52,4
8,1,4,17179869249,52,8
1,1,16,833257218050,104,203431938
1,2,8,4294967309,104,1
1,4,4,17179869197,104,4
2,1,8,8589934612,104,2
2,2,4,17179869205,104,4
4,1,4,17179869221,52,4
1,1,16,1108135124994,5,270540802
1,2,8,4294967313,104,1
1,4,4,4294967313,92,1
2,1,8,8589934616,64,2
2,2,4,8589934616,52,2
4,1,4,17179869222,32,4
1,4,16,1073741841,368,1
1,8,8,1073741841,344,1
1,16,4,4294967313,160,4
2,2,16,2147483672,208,2
2,4,8,2147483672,184,2
2,8,4,8589934613,160,8
4,1,16,4294967334,128,4
4,2,8,4294967334,160,4
4,4,4,17179869213,160,16
8,1,8,8589934658,160,8
8,2,4,34359738413,160,32
1,2,16,2147483665,208,1
1,4,8,2147483665,184,1
1,8,4,8589934609,160,4
2,1,16,4294967320,128,2
2,2,8,4294967320,160,2
2,4,4,17179869205,160,8
4,1,8,8589934630,160,4
4,2,4,34359738397,160,16
